text,satisfaction,job_level,date,platform,source
"""Well you wear makeup and are friends with him"" was given as a reason why a girl was PINNED to shelving and triggered her to have a panic attack and seizure because the guy refused to let her go. He still has a job. No action taken.",Neither satisfied nor unsatisfied,Mid-Level,2020-01-20T19:54:21.146579-05:00,inhersight,amazon
If you get a temp job here keep your head down and do not speak up. They treat you like you’re extremely disposable and less than human as a green badge.,Neither satisfied nor unsatisfied,Early Career,2020-01-08T04:33:38.571147-05:00,inhersight,amazon
Schedules should not just be for tenure employees. Should be able to transfers shift or hours to better accommodate a schedule. More breaks need to be implemented esp if working 12 hr shifts.,Very satisfied,Early Career,2019-12-18T17:45:33.417614-05:00,inhersight,amazon
"You work long hours as a full time associate but the inovation is intriguing. I have been very fortunate in working here. I was able to grow into an ambassador and i am now looking to go into a higher role. Amazon offers so many benifits to thier employees. We have tuition reimbursement, amazing health care plans, unpaid time off, some paid time off and vacation.",Satisfied,Early Career,2019-12-18T09:45:18.585109-05:00,inhersight,amazon
Amazon promotes a very diverse atmosphere. Too much diversity does not promote stability or a less hostile work environment.,Very satisfied,Early Career,2019-11-27T00:06:46.687642-05:00,inhersight,amazon
"I’ve been employed through a hiring agency for 4 weeks at a amazon warehouse and i must say I’ve never worked in such a toxic environment in my life. Some co workers and temps are really very nice people but there are people in higher positions that bully, berate in public and provide very little training before sending to the task. The employee turnover is so high and morale so low it’s astonishing. I’ll most likely be let go because I have too many errors, not that I mind anymore but I remember I was so excited to start and try something new but boy my eyes are opened now. And I’ll probably never buy from amazon ever again because of seeing it from the associate point of view.",Very unsatisfied,Early Career,2019-11-21T06:17:32.221410-05:00,inhersight,amazon
"Working at an Amazon Fullfillment Center is unpredictable. The medical insurance is the reason most people stay at Amazon. It’s high quality and inexpensive and starts on day 1. Remember the board game Life? So many opportunities to be successful and then you draw a card and your success starts to fall apart. That’s how success is at Amazon for both men and women. It does seem that when women move up in the company they seem to have more job security than the men. However, to move up, you must be cutthroat. For both men and women in all departments and levels, making family a priority is highly looked down upon, which makes single mothers/fathers have to fight many battles to keep their jobs especially with their strict attendance policies. Furthermore, most employees have had to experience worker’s comp within their 2 years of working there and struggle to return to work if it was a bad injury such as in the spine, shoulder, etc. The maternity leave is amazing and it’s all paid for mothers and fathers. The shifts are 10 hours which gives you 3 days off each week, although at least 1 of those days will be used to recover physically or sleep. Overtime is wonderful when it’s voluntary but during peak seasons or when attendance/staffing is low mandatory overtime is started and they’ll only have to give notice before 4pm the previous day. Fortunately they only allow up to 60 hours per week because they push it to the minute during peaks. That’s six 10 hour physically intense, rate driven days per week during summer and the holidays. If you needed that time off that they’ve called mandatory overtime, you must use your allotted paid or unpaid time off. When you go below that amount, you’ve broken the attendance policy and are up for termination. You can go to HR and try to get it excused, but that’s a hit or miss. Sometimes they can’t do much for you but if approved you can take an medical leave minimum of 7 days if it’s a medical reason, possibly a personal leave minimum of 15 days if it’s not (only medical during peak unless it’s an extreme case with documentation). So, there are options, but they aren’t easy nor are they a sure deal.",Unsatisfied,Early Career,2019-11-13T17:30:03.781811-05:00,inhersight,amazon
"2 years with Amazon and they wouldn’t promote me because I didn’t have a degree. I worked my butt off, I was trained in several roles/ departments but they just saw me as an associate. If you have a degree you’ll make it far, if you don’t you’ll most likely burn like I did.",Very unsatisfied,Early Career,2019-11-02T07:12:31.780960-04:00,inhersight,amazon
"Amazon's Sort Center has a very diverse employee base in all levels, which is encouraging. You also see promotions regularly - and they haven't had to sell their soul to get there. You will mostly find humble and friendly folk. The biggest problem you may have is the toll the work takes on your body (tendonitis/carpal tunnel).",Very satisfied,Early Career,2019-10-08T01:08:28.293611-04:00,inhersight,amazon
"It is much more difficult for females to be promoted, and once they are, the culture at this facility does not respect female leadership. We often times have to use our male counterparts to have difficult conversations because we are blatantly ignored, talked down to, and all around disrespected. We do not have the support of seniors or HR in these matters as they are far more concerned with potential PR nightmares than taking care of their management. Sexual harassment is supposed to be zero tolerance, but I know of zero instances where a woman’s complaint to HR had any consequence. The perks of Amazon are their benefits and competitive pay, but being a woman in this fulfillment center is very difficult. I can’t speak for all of Amazon, I’m sure it’s not the same everywhere as each building has its own culture, but that is my experience.",Unsatisfied,Early Career,2019-09-26T05:43:41.820636-04:00,inhersight,amazon
Comfortable clothing because you are standing in one spot for 10 hours a day,Neither satisfied nor unsatisfied,Early Career,2019-09-20T10:09:20.237915-04:00,inhersight,amazon
